ticker,metric,fy,filing,filed,instance_value,instance_tag,sheet_value,sheet_tag,match
KR,cost_of_sales,2019,0001558370-21-003706,2021-03-30,95294000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,95294000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,cost_of_sales,2018,0001558370-21-003706,2021-03-30,95103000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,95103000000.0,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,True
KR,net_income,2020,0001558370-21-003706,2021-03-30,2585000000.0,NetIncomeLoss,2585000000.0,NetIncomeLoss,True
KR,net_income,2019,0001558370-21-003706,2021-03-30,1659000000.0,NetIncomeLoss,1659000000.0,NetIncomeLoss,True
KR,net_income,2018,0001558370-21-003706,2021-03-30,3110000000.0,NetIncomeLoss,3110000000.0,NetIncomeLoss,True
KR,total_equity,2017,0001558370-21-003706,2021-03-30,6905000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,6905000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2018,0001558370-21-003706,2021-03-30,7835000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,7835000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,current_assets,2019,0001558370-20-003501,2020-04-01,10890000000.0,AssetsCurrent,10890000000.0,AssetsCurrent,True
KR,current_assets,2018,0001558370-20-003501,2020-04-01,10803000000.0,AssetsCurrent,10803000000.0,AssetsCurrent,True
KR,current_liabilities,2019,0001558370-20-003501,2020-04-01,14243000000.0,LiabilitiesCurrent,14243000000.0,LiabilitiesCurrent,True
KR,current_liabilities,2018,0001558370-20-003501,2020-04-01,14274000000.0,LiabilitiesCurrent,14274000000.0,LiabilitiesCurrent,True
KR,total_equity,2019,0001558370-20-003501,2020-04-01,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,8573000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,total_equity,2018,0001558370-20-003501,2020-04-01,7835000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,7835000000.0,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,True
KR,revenue,2019,0001558370-20-003501,2020-04-01,122286000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,122286000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,True
